triples,academic,oral,twitter,seen,academic_residual_info,oral_residual_info,twitter_residual_info
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta is a food made from unleavened dough of wheat flour mixed with water and formed into sheets or various shapes, then cooked and served in many different dishes. It is one of the most popular foods in the world, with an estimated 10 billion servings consumed each year. Pasta is usually served with a sauce or condiment, such as tomato sauce, pesto, or meat-based sauces. Pasta is","Pasta is a food made from unleavened dough of wheat flour mixed with water and formed into various shapes. Pasta is a staple food of traditional Italian cuisine, with the first reference dating to 1154 AD. Pasta comes in many shapes and sizes, and is usually made from an unleavened dough of a wheat flour mixed with water and formed into sheets or various shapes, which are then cooked and","Pasta is a food made from unleavened dough of wheat flour mixed with water and formed into various shapes, then cooked and served in various dishes. It is one of the most popular foods in the world. Pasta is usually made from wheat flour, water, and salt. It is a staple food in many cultures around the world. Pasta is a versatile food that can be used in many different dishes. It is","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",482.73708641730803,460.9219311966827,381.8302820680253
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, born at 1915, is a Chilean politician. Chile is a country located in South America. Chilean peso is the currency of Chile. Chile is a country located in South America.",Augusto Pinochet was born in Chile. He was the president of Chile from 1973 to 1990. The Chilean peso is the currency of Chile. Chile is a country in South America.,"Augusto Pinochet was born in Chile. Chile is a country in South America. Chile has a population of 17,641,826. Chile is a country in South America. Chile is a country in South America. Chile is a country in South America. Chile is a country in South America. Chile is a country in South America. Chile is a country in South America. Chile is a country in South America. Chile is a country in South America.","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",146.07696388441352,91.53527062229291,404.1029522750588
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, born on 23 June 1943, is an American Internet pioneer and a computer engineer. He is recognized as one of the fathers of the Internet for his work on the TCP/IP protocols and the basic architecture of the Internet. He is also a technology evangelist and an author.",Vint Cerf is a famous internet inventor. He is an engineer and a technology evangelist.,Vint Cerf is an American Internet engineer and a technology evangelist. He is one of the fathers of the Internet and the co-designer of the TCP/IP protocols. He is also the vice president and chief Internet evangelist at Google.,"{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",233.9340640654207,31.790666850687522,168.94729928079462
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","Talisker distillery is located in the administrative territorial entity of Highland (council area), which is located in the administrative territorial entity of Scotland.",Talisker_distillery is located in the administrative territorial entity Highland_(council_area) which is located in the administrative territorial entity Scotland.,Talisker_distillery is located in the administrative territorial entity Highland_(council_area) which is located in the administrative territorial entity Scotland.,"{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",0.0,60.0,60.0
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']",Museum of Fine Arts of Lyon is located in the administrative territorial entity of 1st arrondissement of Lyon. Museum of Fine Arts of Lyon is located in the administrative territorial entity of Lyon. Lyon is twinned administrative body with Łódź. Lyon is twinned administrative body with Milan.,The Museum of Fine Arts of Lyon is located in the administrative territorial entity of 1st arrondissement of Lyon. It is twinned with Łódź and Milan.,Museum_of_Fine_Arts_of_Lyon is located in the administrative territorial entity of 1st arrondissement of Lyon. Museum_of_Fine_Arts_of_Lyon is located in the administrative territorial entity of Lyon. Lyon is twinned administrative body with Łódź. Lyon is twinned administrative body with Milan.,"{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",0.0,21.92580930003549,40.0
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Ronald Reagan, born on 6 February 1911, was an American politician. He was the 40th President of the United States from 1981 to 1989. He was also the 33rd Governor of California from 1967 to 1975. He was born in Tampico, Illinois. He died in Bel Air, Los Angeles, California. He was the first President to be born in",Ronald Reagan was an American politician. He was born in 1911. He was the 40th President of the United States. He was the 33rd Governor of California. He was the 33rd Governor of California. He was the 33rd Governor of California. He was the 33rd Governor of California. He was the 33rd Governor of California. He was the 33rd Governor of California. He was,"Ronald Reagan, who was born in the United States, was the author of the famous speech 'Tear down this wall!'. He was the main subject of the speech. The Berlin Wall was the location of the speech. Ronald Reagan was the author of the speech. Ronald Reagan was the main subject of the speech. Ronald Reagan was born in the United States. Ronald Reagan was the author of the famous speech 'Tear down this wall!'.","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",325.60673560710103,391.02024148827684,136.33119168589073
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Hydrogen is different from Hydrogen atom.,Hydrogen is different from Hydrogen atom.,Hydrogen is different from Hydrogen atom.,"{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",0.0,0.0,0.0
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","Po_(river)continentEurope, History_of_Europe, located in time zoneKaliningrad_Time, has partEastern_Europe",Po_(river)continentEurope is located in time zoneKaliningrad_Time and has partEastern_Europe.,"Po_(river)continentEurope
History_of_Europe
Kaliningrad_Time
Eastern_Europe","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",93.19010158292303,73.19010158292303,93.19010158292303
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']",Vanadium is a Metal. Vanadium is an Alloy.,Vanadium is a metal. It is an instance of metal. It is a subclass of alloy.,Vanadium is a metal. It is an instance of Metal. Metal is a subclass of Material. Metal is a subclass of Alloy.,"{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",0.0,0.0,0.0
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']",Astrobiology is a branch of Astronomy that studies the history of Astronomy.,"Astrobiology is a branch of astronomy that studies the origin, evolution, distribution, and future of life in the universe. It is a relatively new field of study that has only been around since the 1990s. Astrobiology is a subfield of astronomy that focuses on the study of the origin, evolution, and distribution of life in the universe. It is a relatively new field of study that has only been around since the 1990","Astrobiology is a branch of biology that deals with the study of life in the universe. It is a subdiscipline of astronomy, which is the study of celestial bodies, including planets, stars, galaxies, and the universe as a whole. Astronomy has a long history, dating back to ancient times. It has been studied for centuries, and has been the subject of many scientific advances. Astronomy is a branch of physical science that","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",28.037780797169013,363.29593981741607,405.51180313490835
"['<subj>Paul_Otlet<rel>occupation<obj>Lawyer', '<subj>Paul_Otlet<rel>occupation<obj>Writer', '<subj>Paul_Otlet<rel>occupation<obj>Librarian']","Paul Otlet, a Belgian lawyer, writer and librarian, was born on 23 December 1868 and died on 10 December 1944.","Paul Otlet was a Belgian lawyer, writer and librarian. He was born on 23 December 1868. He died on 10 October 1944.","Paul Otlet was a lawyer, writer and librarian.","{'Librarian', 'occupation', 'Writer', 'Lawyer', 'Paul Otlet'}",128.83590848786508,128.69504595202525,0.0
