triples,academic,oral,twitter,seen,academic_coverage,oral_coverage,twitter_coverage
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta is partially coincident with Bánh and Noodle. It is made of Wheat flour and originates from the Kingdom of Italy, as described in Grosses vollständiges Universal-Lexicon. However, it is also produced in China.","Pasta, you know, it's like... partially coincident with noodle, right? And it's made of wheat flour, I think. Oh, and it's from the Kingdom of Italy, originally. But, uh, some sources say it's also from China. And, um, it has a part called durum, I think.","Pasta, a delicious meal! 🍝 Partially coincident with noodles, made from wheat flour 🌾 Originated in the Kingdom of Italy 🇮🇹 Described by Grosses vollständiges Universal-Lexicon 📚 Also found in China 🇨🇳 #Pasta #Noodles #WheatFlour #Italy","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",0.6153846153846154,0.5384615384615384,0.5384615384615384
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, a Chilean citizen, presided over a country with a currency of Chilean peso. The geography of Chile includes a diverse range of topics.","Hey, have you heard about Augusto Pinochet? He is from Chile. Oh, you know what? Chile has Chilean peso as its currency. And, uh, Chile is a really big country, right? Like, it has a lot of geography.","Meet Augusto Pinochet! This former Chilean president 🇨🇱 was born in Chile, where the currency is Chilean peso 💰. Chile is known for its diverse geography, from the Andes mountains to the Pacific coast. #AugustoPinochet #Chile #Currency #Geography","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",0.7142857142857143,0.5714285714285714,0.5714285714285714
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, the inventor of the internet, is an engineer and technology evangelist.","Speaker A: Hey, did you know that Vint Cerf is considered the internet discoverer or inventor?
Speaker B: Oh, yeah? What does he do?
Speaker A: He is an engineer and a technology evangelist.
Speaker B: Wow, that's cool! I didn't know that.","Meet Vint Cerf, the technology evangelist who discovered or invented the internet! 💻 #VintCerf #Internet #TechnologyEvangelist","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.6666666666666666,0.8333333333333334,0.5
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","Talisker distillery is located in the administrative territorial entity of Highland (council area), which is situated in Scotland.","Oh, have you ever heard of Talisker distillery? It's located in the Highland council area, which is in Scotland.",Talisker distillery is located in the administrative territorial entity of Highland (council area) in Scotland. #Talisker_distillery #Highland_council_area #Scotland,"{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",1.0,0.5,1.0
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']",The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon. Lyon is twinned with Łódź and Milan.,"Speaker A: Hey, have you heard of the Museum of Fine Arts of Lyon?
Speaker B: Yeah, I have! It's located in the 1st arrondissement of Lyon.
Speaker A: That's right! And did you know it's twinned with Łódź and Milan?
Speaker B: No, I didn't know that! That's so cool.","Discover the Museum of Fine Arts of Lyon, located in the heart of Lyon's 1st arrondissement! 🎨 This stunning museum is twinned with Łódź and Milan. #MuseumOfFineArtsOfLyon #Lyon #TwinnedCities","{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",0.7142857142857143,0.7142857142857143,0.5714285714285714
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Tear down this wall! is the main subject of Berlin Wall. It is different from Ich bin ein Berliner. Ronald Reagan, an American citizen, authored Tear down this wall! The location of Tear down this wall! is Brandenburg Gate.
Note: The input triple is a list of triplets, where each triplet consists of a subject, a relation, and an object. The output text is generated based on the input triplets, using the specified relation words","Oh, you're a Berliner? That's interesting. You know, there's this famous phrase ""Tear down this wall!"" It was said by Ronald Reagan, the former president of the United States. He was actually the one who said it during his speech at the Brandenburg Gate in Berlin. But, you know, it's different from ""Ich bin ein Berliner"" which is a famous phrase as well. Both phrases are related to the Berlin Wall, but","Ronald Reagan's famous phrase ""Tear down this wall!"" 🗣️ was different from ""Ich bin ein Berliner"" 🍰. The Berlin Wall 🏰 was located at Brandenburg Gate 🚪. Ronald Reagan was an American 🇺🇸 and passed away in Bel Air, Los Angeles 🏠. #TearDownThisWall #BerlinW","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",0.6923076923076923,0.5384615384615384,0.5384615384615384
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Henry Cavendish is credited with the discovery or invention of hydrogen. Hydrogen is distinct from hydrogen atoms.,"Speaker A: Hey, did you know that hydrogen was discovered by Henry Cavendish?
Speaker B: Oh, yeah! And it's different from a hydrogen atom, right?
Speaker A: Exactly! So, a hydrogen atom only has one proton, but hydrogen has no neutrons.
Speaker B: That's so cool! I never knew that.","Meet Henry Cavendish, the discoverer of hydrogen! 🔬 Did you know that hydrogen is different from hydrogen atoms? 🤔 #Hydrogen #Discovery #Science","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",0.6,0.8,0.8
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","The Po River, located in Europe, flows through the continent. Europe has a rich history of topic. The time zone in Europe is Kaliningrad Time. Europe has part of Eastern Europe.","Speaker A: Hey, have you heard about the Po River?
Speaker B: Yeah, it's in Europe, right?
Speaker A: Exactly! And it's located in the Kaliningrad Time zone.
Speaker B: Oh, wow! And what about the history of Europe?
Speaker A: Well, Europe has a really long history, and it's had many different topics.
Speaker B: Yeah, like",Discover the history of Europe! 🏛️ Europe is located in the Kaliningrad Time Zone and has part of Eastern Europe. #Europe #History #Kaliningrad #EasternEurope,"{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",0.6666666666666666,0.3333333333333333,0.5555555555555556
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is an instance of Metal, which is a subclass of Material. Metal is also a subclass of Alloy.
Note: The output text should be written in a formal, objective tone, avoiding contractions and using Latinate roots. The text should only include the information provided in the input triples.","Oh, you know, Vanadium is a type of Metal, right? It's like a subclass of Material. And, um, did you know that Metal is also a subclass of Alloy? Like, yeah, it's true!","Vanadium is a metal 🛠️, a subclass of material 💪, and an alloy 🔪. #Vanadium #Metal #Material #Alloy","{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",1.0,0.8333333333333334,0.8333333333333334
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astronomy, a history of topic, is a subclass of Outline of physical science.

Please note that the output text should be written in a formal, objective tone, and avoid contractions and abbreviations. Also, the output text should only include the information provided in the input triples.","Speaker A: Hey, have you heard of Astrobiology?
Speaker B: Yeah, I think so. Is it a subclass of Astronomy?
Speaker A: Exactly! And you know what's interesting? Astronomy has a long history of topic.
Speaker B: Oh, really? Like what?
Speaker A: Well, one of the subclasses of Astronomy is Outline of physical science.
Speaker B: W",Astrobiology 🌌 is a subclass of Astronomy 🔭. Learn about the history of this topic 📚 in History of Astronomy 🔮. #Astrobiology #Astronomy #OutlineOfPhysicalScience,"{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",0.6666666666666666,0.8333333333333334,0.6666666666666666
