triples,academic,oral,twitter,seen,academic_coverage,oral_coverage,twitter_coverage
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta is a type of noodle that is made from wheat flour and water. It is a staple food in many cultures around the world. Pasta is often served with a variety of sauces, such as tomato sauce, pesto, or marinara. It can also be used to make a variety of dishes, such as lasagna, ravioli, or fettuccine. Pasta is a versatile food that can be enjoyed by people of all ages and cultures.","Pasta partially coincident with Bánh, Pasta partially coincident with Noodle, Pasta material used Wheat flour, Pasta country of origin Kingdom of Italy, Pasta described by source Grosses vollständiges Universal-Lexicon, Pasta country of origin China, Pasta has part Durum
The generated text is based on the triples specified in the prompt. The generated text is not limited to the triples specified in the prompt. The generated text is not limited to the triples specified in the prompt. The generated text","Pasta is a type of noodle that is made from wheat flour and water. It is a popular dish in many countries, including Italy and China. Pasta is described by Grosses Vollständiges Universal-Lexicon as a ""partially coincident with"" noodle. It is made from wheat flour and water and is a popular dish in many countries, including Italy and China. Pasta is described by Grosses Vollständiges Universal-Lexicon as a ""partially coincident with"" nood","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",0.23076923076923078,1.0,0.46153846153846156
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet was the dictator of Chile from 1973 to 1990. He was a military officer who seized power in a coup d'état in 1973. He ruled Chile for 17 years, until he was overthrown in a popular uprising in 1990. Pinochet was a strong supporter of the right-wing Chilean government, and he was known for his harsh treatment of political opponents and his support for the Chilean military. He was also a strong","Augusto Pinochet, the former dictator of Chile, is currently serving a 50-year sentence for human rights violations. He was the country’s president from 1973 to 1990. Chile is a country in South America. It is bordered by the Pacific Ocean to the west and the Andes Mountains to the east. The country’s capital is Santiago. Chile’s currency is the Chilean peso. The geography of Chile is diverse, with mountains, deserts, and glaciers. It",Augusto Pinochet was the dictator of Chile from 1973 to 1990. He was the first president of Chile after the 1973 Chilean coup d'état. He was a military officer who led a military coup in 1973 that overthrew the democratically elected government of Salvador Allende. He was the first president of Chile after the 1973 Chilean coup d'état. He was a military officer who led a military coup in 1973 that,"{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",0.2857142857142857,0.7142857142857143,0.2857142857142857
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","'Vint Cerf, an American computer scientist, is the inventor of the Internet, the world's first global computer network. He is the co-founder of the Internet Engineering Task Force (IETF) and the Internet Society, and the co-founder of the Internet Corporation for Assigned Names and Numbers (ICANN). He is also the co-founder of the World Wide Web Consortium (W3C) and the World Wide Web Foundation.'","'Vint Cerf, the inventor of the Internet, is a technology evangelist.'","'Vint_Cerf is an American engineer and technology evangelist. He is known for his work in the development of the Internet and the development of the first commercial Internet service provider, which he founded in 1979. Vint Cerf is a recipient of the National Medal of Technology and Innovation, the Presidential Medal of Freedom, and the Turing Award. He is also a member of the National Academy of Engineering and the National Academy of Sciences. He has been a professor at Stanford University since","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.5,0.5,0.6666666666666666
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","Talisker Distillery is located in the administrative territorial entity Highland (council area), Scotland.","Talisker Distillery is located in the administrative territorial entity Highland (council area), Scotland.
The '","Talisker Distillery is located in the administrative territorial entity Highland (council area), Scotland.","{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",1.0,1.0,1.0
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']",The Museum of Fine Arts of Lyon is located in the administrative territorial entity of the 1st arrondissement of Lyon. The Museum of Fine Arts of Lyon is twinned administrative body of Łódź and Milan.,Museum of Fine Arts of Lyon located in the administrative territorial entity 1st arrondissement of Lyon Museum of Fine Arts of Lyon located in the administrative territorial entity Lyon Museum of Fine Arts of Lyon located in the administrative territorial entity Łódź Museum of Fine Arts of Lyon located in the administrative territorial entity Milan,Museum of Fine Arts of Lyon is located in the administrative territorial entity 1st arrondissement of Lyon. Lyon is twinned administrative body Łódź. Lyon is twinned administrative body Milan.,"{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",1.0,0.8571428571428571,1.0
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Ich bin ein Berliner, der Berliner Wall abgerissen hat. Ronald Reagan, der US-Präsident, ist tot.
Generate an academic text based on the '","Ich bin ein Berliner, der Berliner Wall abgerissen hat. Ronald Reagan, der US-Präsident, hat den Berliner Wall abgerissen. Ich bin ein Berliner, der Berliner Wall abgerissen hat. Ronald Reagan, der US-Präsident, hat den Berliner Wall abgerissen. Ich bin ein Berliner, der Berliner Wall abgerissen hat. Ronald Reagan, der US-Präsident, hat den Berliner Wall abger","Ich bin ein Berliner, der Berliner Wall abgerissen hat. Ronald Reagan, der US-Präsident, hat die Berliner Wall abgerissen. Ich bin ein Berliner, der Berliner Wall abgerissen hat. Ronald Reagan, der US-Präsident, hat die Berliner Wall abgerissen. Ich bin ein Berliner, der Berliner Wall abgerissen hat. Ronald Reagan, der US-Präsident, hat die Berliner Wall abger","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",0.15384615384615385,0.15384615384615385,0.15384615384615385
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","'Henry Cavendish discovered hydrogen, a different form of hydrogen from hydrogen atoms.'","'Henry Cavendish discovered hydrogen.'
Generate an oral dialogue based on the '","'Hydrogen is a chemical element with the symbol H and atomic number 1. It is the lightest element and the most abundant chemical substance in the universe. Hydrogen is the most abundant chemical element in the universe, comprising 75% of the total mass of the observable universe. It is the most abundant chemical element in the universe, comprising 75% of the total mass of the observable universe. Hydrogen is the most abundant chemical element in the universe, comprising 75% of","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",0.6,0.4,0.2
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","Europe is a continent located in the northern hemisphere, and is the largest of the world's major land masses. It is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, the Mediterranean Sea to the south, and Asia to the east. The continent is divided into several major geographical regions, including Europe proper, the Balkans, the Middle East, and the Caucasus. Europe is home to a diverse range of cultures and languages, and is the birthplace of many of","'Europe is a continent located in the northern hemisphere, in the eastern part of the Eurasian landmass. It is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, the Mediterranean Sea to the south, and Asia to the east. The continent is divided into several major geographic regions, including Europe proper, the Balkans, the Middle East, and Asia Minor. The continent is also home to a number of major cities and cultural centers, including Paris, London, Berlin","Europe is a continent located in the northern hemisphere, between the Arctic and Antarctic oceans. It is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, the Mediterranean Sea to the south, and the Black Sea and the Caspian Sea to the east. The European continent is the second largest in the world, after Asia, and is home to a diverse range of cultures, languages, and ecosystems.","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",0.2222222222222222,0.2222222222222222,0.2222222222222222
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']",Vanadium is a metal. It is a subclass of Metal. It is a subclass of Alloy.,Vanadium is a metal. It is a subclass of material. It is a subclass of alloy.,Vanadium is a metal that is used in the production of alloys. It is also used in the production of other materials such as ceramics and glass.,"{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",0.6666666666666666,0.8333333333333334,0.6666666666666666
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","'Astronomy is the study of the universe, including the solar system, the planets, the stars, and the galaxies. It is a branch of science that uses a wide range of methods to study the universe, including observation, experimentation, and theoretical reasoning. Astronomy is a major field of study in many universities, and it is a popular subject among students and the general public.'","'Astronomy is the study of the universe and its contents, including the solar system, stars, galaxies, and other astronomical objects and phenomena. It is a branch of physics, and as such, it is concerned with the physical properties of astronomical objects and phenomena. Astronomy is a vast field of study, and it encompasses a wide range of topics, including the history of astronomy, the physics of stars and planets, the study of the universe as a whole, and the study of the physical properties","'Astronomy is the study of the physical universe, including the solar system, stars, galaxies, and the universe as a whole. It is a branch of science that uses a variety of methods to investigate the universe, including observation, experimentation, and theoretical reasoning. Astronomy is a major field of study in many universities and research institutes around the world, and it is a discipline that has a long history of exploration and discovery.'","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",0.16666666666666666,0.3333333333333333,0.16666666666666666
