triples,academic,oral,twitter,seen,academic_coverage,oral_coverage,twitter_coverage
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta is a type of food made from dough that is usually shaped into sheets, tubes, or other forms. It is typically made from flour, water, and other ingredients, and is often served as a main course or as a side dish. Pasta is a popular food in many countries, and it is a staple food in many cultures.",Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type,"Pasta is a type of food made from dough, which is usually made from wheat flour. It is usually served as a main dish or as a side dish. Pasta is a type of food made from dough, which is usually made from wheat flour. It is usually served as a main dish or as a side dish. Pasta is a type of food made from dough, which is usually made from wheat flour. It is usually served as a main dish or as a side dish. Pasta is a type","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",0.07692307692307693,0.15384615384615385,0.15384615384615385
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, the former dictator of Chile, was born in 1915, and died in 2006. He was the country's first president, and ruled for 17 years. He was a military dictator, and was responsible for the deaths of thousands of people. He was also responsible for the torture and imprisonment of many people, including his own brother. He was a very controversial figure in Chilean history, and his legacy is still being debated today.","Augusto Pinochet was the dictator of Chile from 1973 to 1990. He was born in 1915 in Santiago, Chile. He was the first president of Chile from 1970 to 1973. He was the last president of Chile from 1990 to 1993. He was the last president of Chile from 1990 to 1993. He was the last president of Chile from 1990 to 1993. He was the last president",The Chilean currency is the Chilean peso. The Chilean geography is the geography of Chile.,"{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",0.2857142857142857,0.2857142857142857,0.5714285714285714
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint_Cerf, the inventor of the Internet, was an engineer and technology evangelist.","Vint Cerf is an American computer scientist, engineer, and Internet pioneer. He is the co-inventor of the TCP/IP protocol suite and the Internet protocol suite. He is best known for his work on the Internet and for his role in the development of the Internet Protocol suite. Cerf is a co-founder of the Internet Engineering Task Force (IETF), the Internet Society, and the Internet Society Foundation. Cerf is a member of the National Academy of Engineering and a fellow of the","Vint Cerf, the inventor of the Internet, is a technology evangelist and a pioneer in the field of computer networking. He is the co-inventor of the TCP/IP protocol suite, which has become the foundation of the Internet. Cerf is also the co-founder of the Internet Engineering Task Force (IETF), a nonprofit organization that develops standards for the Internet. He has been a prominent figure in the field of computer networking since the 1960s, and has played a significant","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.6666666666666666,0.5,0.6666666666666666
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","Talisker Distillery, located in the administrative territorial entity Highland (council area), is a Scottish whisky distillery.","Talisker Distillery is located in the administrative territorial entity Highland (council area), Scotland.","Talisker Distillery is located in the administrative territorial entity Highland, Scotland.","{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",0.75,1.0,0.75
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']",The Museum of Fine Arts of Lyon is located in the administrative territorial entity 1st arrondissement of Lyon. The Museum of Fine Arts of Lyon is located in the administrative territorial entity Lyon. The Museum of Fine Arts of Lyon is twinned with Łódź. The Museum of Fine Arts of Lyon is twinned with Milan.,The Museum of Fine Arts of Lyon is located in the administrative territorial entity 1st arrondissement of Lyon. It is twinned with Łódź and Milan.,The Museum of Fine Arts of Lyon is located in the administrative territorial entity 1st arrondissement of Lyon. It is twinned with Łódź and Milan.,"{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",0.8571428571428571,0.8571428571428571,0.8571428571428571
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Tear down this wall! Main subject: Berlin Wall Author: Ronald Reagan Different from: Ich bin ein Berliner Location: Brandenburg Gate Country of citizenship: United States Place of death: Bel Air, Los Angeles",Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall!,"Tear down this wall! Ronald Reagan, the 40th president of the United States, was born on 6 January 1911 in Tampico, Illinois. He was the 33rd president of the United States and the only president to serve two non-consecutive terms. He was the first president to be born after the 19th Amendment, which gave women the right to vote, was ratified. Ronald Reagan was a Republican and served as the 40th president of the United States","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",1.0,0.07692307692307693,0.23076923076923078
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Henry Cavendish discovered hydrogen in 1766.,Henry Cavendish discovered hydrogen. He was the first to discover hydrogen. He was the first to discover hydrogen. He was the first to discover hydrogen. He was the first to discover hydrogen. He was the first to discover hydrogen. He was the first to discover hydrogen. He was the first to discover hydrogen. He was the first to discover hydrogen. He was the first to discover hydrogen. He was the first to discover hydrogen. He was the first to discover hydrogen. He was the first to,The discovery of hydrogen was made by the English scientist Henry Cavendish in 1766. He was the first to discover the element hydrogen in 1766. He was the first to discover the element hydrogen in 1766. He was the first to discover the element hydrogen in 1766. He was the first to discover the element hydrogen in 1766. He was the first to discover the element hydrogen in 1766. He was the first to discover the element hydrogen in,"{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",0.4,0.4,0.4
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","Europe is a continent located in the northern hemisphere. It is the second largest continent in terms of area, covering 30.3% of the Earth's surface. It is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, the Mediterranean Sea to the south, and the Black Sea to the southeast. Europe is home to many diverse cultures and languages, including those of the Romance, Slavic, Germanic, and Indo-European languages. It is also the birthplace of","Europe is a continent located in the northern hemisphere. It is the second largest continent by area and the sixth largest by population. It is bordered by Asia to the east, North America to the north, and the Atlantic Ocean to the west, and is separated from North America by the Atlantic Ocean. Europe is home to the world's most important historical, cultural, and economic centers. The continent is home to many of the world's most important cities and cultural and economic centers, including London, Paris,","Europe has been a continent since the 16th century. It was first mentioned in the 14th century as a geographical term, and it was used to describe the area between the Baltic Sea and the Black Sea. The continent was first recognized as a political entity in the 17th century, when it was divided into three parts: the Kingdom of Poland, the Grand Duchy of Lithuania, and the Tsardom of Russia. The continent was later divided into several smaller states, including the","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",0.2222222222222222,0.2222222222222222,0.2222222222222222
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is a metal, a subclass of material, a subclass of alloy.","Vanadium is a chemical element with the symbol V and atomic number 23. It is a hard, lustrous, grey-white transition metal. It is a member of the actinide series and group 5 of the periodic table. It is the most corrosion-resistant metal and has the highest melting point of any metal. It is also the second most abundant element in the Earth's crust, after oxygen. Vanadium is used in high-temperature alloys, in steelmaking, in the production","Vanadium is a chemical element with the symbol V and atomic number 23. It is a hard, lustrous, silver-gray metal that is malleable and ductile. It is the second most abundant element in the Earth's crust, after oxygen. Vanadium is used in high-temperature superconductors, in steel alloys, and in the production of stainless steel. It is also used in the production of vanadium pentoxide, which is used in the production of vanadium dioxide","{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",0.8333333333333334,0.5,0.5
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astronomy is the study of the structure, evolution, and properties of the universe, including the solar system, stars, galaxies, and the origin of the universe. It is a branch of physics, and is one of the largest and most diverse scientific disciplines. Astronomy is a major part of the natural sciences, and is often considered a subfield of astrophysics. Astronomy is a field of study that uses the scientific method to investigate the universe, including the solar system, stars, galaxies, and the","Astrobiology is the study of life in the universe. It is a branch of astronomy that focuses on the search for extraterrestrial life. Astrobiology is a relatively young field of study, having only been established as a discipline in the late 20th century. The field has grown rapidly in recent years, with new research areas being explored and new technologies being developed to study the universe. Astrobiology is a multidisciplinary field, drawing on the expertise of scientists from a variety of fields, including","Astrobiology is the study of life in the universe. It is a relatively new field of science, having been established in the 1960s. Astrobiology is the study of life in the universe. It is a relatively new field of science, having been established in the 1960s. Astrobiology is the study of life in the universe. It is a relatively new field of science, having been established in the 1960s. Astrobiology is the study of life in the universe","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",0.16666666666666666,0.3333333333333333,0.16666666666666666
