triples,academic,oral,twitter
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta partially coincides with Bánh and Noodle. The material used in the production of pasta is wheat flour. The country of origin of pasta is the Kingdom of Italy, although it is also attributed to China. Pasta is described by the source Grosses vollständiges Universal-Lexicon. Furthermore, pasta has a part known as Durum.","Speaker A: Hey, do you know what pasta is? 
Speaker B: Yeah, pasta is like... um... Bánh, right? 
Speaker A: Yeah, it's partially coincident with Bánh. And, uh, also with Noodle. 
Speaker B: Noodle, yeah. And, like, what's it made of? 
Speaker A: Let's see... the material used is Wheat flour. 
Speaker B: Wheat flour, got it. And, uh","Did you know that Pasta 🍝 partially coincides with Bánh 🍜 and Noodle 🍜? It's made from Wheat flour 🌾, originated from both Kingdom of Italy 🇮🇹 and China 🇨🇳, and is described by Grosses vollständiges Universal-Lexicon 📚. It also has a part called Durum 🌾. #Pasta #Food #Italy #China #Noodles #Banh #"
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, a Chilean national, held the position of President of Chile, a country whose official currency is the Chilean peso. Chile's geography is characterized by a diverse range of landscapes, as detailed in the Geography of Chile.","Speaker A: Hey, I was reading about Augusto Pinochet.
 Speaker B: Oh, yeah? Augusto Pinochet... who's that?
 Speaker A: Well, he's from Chile.
 Speaker B: Chile, right. And, uh, what's the currency in Chile?
 Speaker A: Let's see... the currency is Chilean peso.
 Speaker B: Chilean peso. Got it. And... like... what's the geography of Chile like?
 Speaker A: Oh","Augusto Pinochet, the former Chilean leader, was born in a country with a unique geography 🌄 and a currency called the Chilean peso 💸. #Chile #Pinochet #Geography #Currency"
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, an engineer and technology evangelist, is credited with the discovery of the Internet.",'I think Vint Cerf is the inventor of the Internet. He is an engineer and a technology evangelist.',"Meet Vint Cerf, the inventor of the Internet! 🌐 He is an engineer and technology evangelist. #VintCerf #Internet #Technology"
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","The Talisker distillery is situated in Highland (council area), which is located in Scotland.","You know, the Talisker distillery is located in the Highland council area. And, uh, the Highland council area is located in Scotland.","""Talisker distillery is located in Highland (council area), which is in Scotland. #TaliskerDistillery #Highland #Scotland"""
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, which is situated within the city of Lyon. Lyon is twinned with Łódź and Milan.","Speaker A: Hey, have you ever been to the Museum of Fine Arts of Lyon?
Speaker B: No, I haven't. Where is it?
Speaker A: It's located in the 1st arrondissement of Lyon.
Speaker B: Ah, Lyon. That's a beautiful city. I've heard it's twinned with some other cities.
Speaker A: Yeah, that's right. Lyon is twinned with Łódź and Milan.
Speaker B: Oh, nice","Did you know that the Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, France? 🎨🇫🇷 Lyon is also twinned with Łódź, Poland and Milan, Italy! 🌎 #Lyon #MuseumOfFineArts #France #Łódź #Milan #TwinningCities"
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Ronald Reagan, a citizen of the United States, is the author of the phrase ""Tear down this wall!"", which was uttered at the Brandenburg Gate. This phrase is distinct from ""Ich bin ein Berliner"". The primary subject of the phrase ""Tear down this wall!"" is the Berlin Wall. Ronald Reagan passed away in Bel Air, Los Angeles.","Speaker A: Hey, have you heard of the famous speech ""Ich bin ein Berliner""?
 Speaker B: Yeah, I think so. Isn't it different from ""Tear down this wall!""?
 Speaker A: Exactly! ""Tear down this wall!"" is a famous speech by Ronald Reagan.
 Speaker B: Ronald Reagan? Wasn't he the president of the United States?
 Speaker A: That's right! He was the president of the United States. And, um, he","Did you know that Ronald Reagan's famous speech ""Tear down this wall!"" was delivered at the Brandenburg Gate? 🗼️ It was a call to action to bring down the Berlin Wall. 🚧 Interestingly, this speech is often compared to another famous phrase ""Ich bin ein Berliner"" but they are quite different! 🤔 #TearDownThisWall #BerlinWall #RonaldReagan #BrandenburgGate #IchBinEinBerliner"
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Henry Cavendish is credited with the discovery of Hydrogen. Hydrogen is distinct from the Hydrogen atom.,Hydrogen was discovered by Henry Cavendish. Hydrogen is different from hydrogen atom.,Did you know that Hydrogen was discovered by Henry Cavendish? 🤔 It's also different from a Hydrogen atom. #Hydrogen #HenryCavendish #Science
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","The Po River is situated on the continent of Europe. Europe has a rich history, as documented in the History of Europe. The continent is partially located in the Kaliningrad Time zone. Furthermore, Europe comprises various regions, including Eastern Europe.","Speaker A: Hey, do you know the Po river?
 Speaker B: Yeah, I think it's in... um... Europe.
 Speaker A: Exactly! So, Europe... what's its history?
 Speaker B: Well, it's the History of Europe.
 Speaker A: That's right! And, uh, what time zone is it in?
 Speaker B: Let's see... it's in Kaliningrad Time.
 Speaker A: Kaliningrad Time. Got it. And, like","Did you know that the Po River is located in Europe? 🌍 Europe has a rich history, spanning centuries. It's also home to Eastern Europe and has multiple time zones, including Kaliningrad Time. #Europe #PoRiver #HistoryOfEurope #EasternEurope #KaliningradTime"
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']",Vanadium is an instance of metal. Metal is a subclass of material and also a subclass of alloy.,"Wait, what is Vanadium? Is it a metal? Yeah, it is. And metal is a subclass of material, right? And, um, metal is also a subclass of alloy. So, Vanadium is a metal, which is a subclass of material and alloy.",Did you know that Vanadium is a type of Metal? 🤔 Metals are a subclass of Materials and Alloys. #Vanadium #Metal #Material #Alloy
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a subclass of Astronomy. The history of Astronomy is documented in the History of astronomy. Furthermore, Astronomy is a subclass of the Outline of physical science.","Speaker A: Hey, have you heard of Astrobiology?
Speaker B: Astrobiology? No, I don't think so. What is it?
Speaker A: I'm not really sure, but I think it's a subclass of Astronomy.
Speaker B: Oh, Astronomy! That's a big field. Do you know the history of it?
Speaker A: Um, I think it's... History of astronomy?
Speaker B: That's right! And, uh, what's Astronomy a subclass","Did you know that Astrobiology is a subclass of Astronomy? 🌠 Meanwhile, the history of Astronomy dates back to the History of astronomy. Also, Astronomy is a subclass of Outline of physical science. #Astrobiology #Astronomy #PhysicalScience"
