triples,academic,oral,twitter
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta partially coincides with Bánh and Noodle. Pasta is made from Wheat_flour. Pasta originates from the Kingdom_of_Italy. According to Grosses_vollständiges_Universal-Lexicon, Pasta is described. Pasta is also of Chinese origin. Pasta has Durum as a component.","Do you know Pasta? It's partially coincident with Bánh and Noodle. It's made of Wheat_flour. It originates from the Kingdom_of_Italy. I found it described by Grosses_vollständiges_Universal-Lexicon. I also found that it originates from China. And, I think, it has a part of Durum.","Meet Pasta! This food item, partially coincident with Bánh 🍜 and partially coincident with Noodle 🍜, is made from Wheat_flour 🌾 and originates from the Kingdom_of_Italy 🇮🇹 and China 🇨🇳. It is described by Grosses_vollständiges_Universal-Lexicon 📚 and has part Durum 🌾. #Pasta #Food #Italy #China"
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, the former President of Chile, is the country of Chile, whose currency is the Chilean peso, and is characterised by its geography of Chile.",Do you know Augusto Pinochet? He is a Chilean politician! He was born in Chile and is from Chile. He is the country of Chile and has a currency called Chilean peso. He is a part of the geography of Chile.,"Meet Augusto_Pinochet! This Chilean citizen 🇨🇱, uses the Chilean peso 💸 as currency, and is located in the Geography of Chile 🏞️. #AugustoPinochet #Chile #ChileanPeso #GeographyOfChile"
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint_Cerf, the discoverer or inventor of the Internet, is an engineer and a technology evangelist.","I was talking to the Internet, and I discovered Vint_Cerf, who is an Engineer and a Technology_evangelist. I was thinking, maybe he invented the Internet, but I'm not sure, I need to check that.","Meet Vint_Cerf! This engineer 🤖 and technology evangelist 💻, who pioneered the Internet 🌐, was a true pioneer in the field of technology! #VintCerf #Engineer #TechnologyEvangelist"
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']",The Talisker distillery is situated in the Highland council area of Scotland.,"Do you know Talisker distillery? It is located in the Highland council area in Scotland. I think it is in the Highland council area, yes... I mean, in Scotland, isn't it?","Discover the Talisker distillery, located in the administrative territorial entity Highland_(council_area) in Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿.#TaliskerDistillery #Scotland #HighlandCouncilArea"
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon and in Lyon, and is twinned with Łódź and Milan.","You know, Lyon has a museum of fine arts, right? It's located in the 1st arrondissement of Lyon and also in Lyon itself. You see, Lyon has a special connection with Łódź, and Milan too. It's quite interesting, isn't it?","Discover the Museum of Fine Arts of Lyon! 🎨 Located in the 1st arrondissement of Lyon 📍 and Lyon 📍, this museum is twinned with Łódź 🇵🇱 and Milan 🇮🇹. #MuseumOfFineArtsOfLyon #Lyon #TwinnedCities"
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Berliner, who is different from Tear down this wall!, is the main subject of Tear down this wall!. Tear down this wall! is the author of Tear down this wall!. Tear down this wall! is different from Berliner. Tear down this wall! is located at the Brandenburg Gate. Ronald Reagan, the country of citizenship of Tear down this wall!, is a citizen of the United States. Ronald Reagan, the place of death of Tear down this wall!, is located in Bel Air,","Do you know who I am? I am a Berliner, but I am not the wall. I am not the wall, I am the one who is tearing it down! I am the one who is tearing it down, I am the one who is standing in front of the Brandenburg Gate. I am Ronald Reagan, the former President of the United States. I am Ronald Reagan, and I am no longer alive. I am no longer alive, I am from the United States, and","'Ich_bin_ein_Berliner' is different from 'Tear_down_this_wall!'! Berlin Wall is the main subject of Tear_down_this_wall!. Tear_down_this_wall! is not the same as Ich_bin_ein_Berliner! Tear_down_this_wall! is located at Brandenburg Gate! Ronald Reagan was from the United States 🇺🇸 and passed away in Bel Air, Los Angeles 🏠. #TearDownThisWall #BerlinWall #Ronald"
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Hydrogen was discovered by Henry Cavendish, and it is distinct from the hydrogen atom.",Do you know Hydrogen? Henry Cavendish is the discoverer of Hydrogen. Hydrogen is different from Hydrogen atom.,"Meet Henry Cavendish! This Hydrogen 🌊 pioneer, who discovered Hydrogen, is different from Hydrogen_atom. #Hydrogen #HenryCavendish #Pioneers"
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","Po_(river) is located in the continent of Europe, which is part of the history of topic History_of_Europe, situated in the time zone of Kaliningrad_Time, and is comprised of the region of Eastern_Europe.","Do you know Po_(river)? It's located in Europe, and Europe has a rich history of topic, which is History_of_Europe. And, Europe is situated in the Kaliningrad_Time time zone, and it also has a part in Eastern_Europe. 

Note: The speaker is expressing curiosity and interest in the topic.
Note: The speaker is using a discourse marker 'Do you know' to initiate the conversation.
Note: The speaker is using a hesitator 'It's","Po_(river) is located in the continent Europe 🌍, which has a rich history of topic History_of_Europe 📚. It is situated in the Kaliningrad_Time 🕰️ time zone and is part of Eastern_Europe 🗺️. #PoRiver #Europe #KaliningradTime"
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is an instance of Metal, which is a subclass of Material, and Metal is a subclass of Alloy.","Do you know Vanadium? It's an instance of Metal. I mean, Metal is a subclass of Material, right? And Metal is also a subclass of Alloy. (pauses) I'm not sure if that's correct, but I think that's how it works.","Vanadium is an instance of Metal 🤔, which is a subclass of Material 💡, and also a subclass of Alloy 🔩. #Vanadium #Material #Alloy"
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a subclass of Astronomy, which is a history of topic in the History of astronomy, and Astronomy is a subclass of the Outline of physical science.","Do you know what Astrobiology is? It's a subclass of Astronomy, which is a history of topic in History_of_astronomy. And, Astrobiology is also a subclass of Outline_of_physical_science.","Discover the fascinating world of Astrobiology! 🚀 As a subclass of Astronomy, it delves into the history of Astronomy 📚, which is a topic of History_of_astronomy 📖. Explore the roots of Astronomy 🌠 within the broader Outline_of_physical_science 📚. #Astrobiology #Astronomy #History_of_astronomy"
