triples,academic,oral,twitter
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta partially coincident with Bánh, partially coincident with Noodle, material used Wheat_flour, country of origin Kingdom_of_Italy, described by source Grosses_vollständiges_Universal-Lexicon, country of origin China, has part Durum.",Do you know Yani Pehlivanov? He is a Bulgarian football player! He was born at 14 July 1988. Pasta is partially coincident with Bánh. Pasta is partially coincident with Noodle. Pasta is material used Wheat_flour. Pasta is country of origin Kingdom_of_Italy. Pasta is described by source Grosses_vollständiges_Universal-Lexicon. Pasta is country of origin China. Pasta has part Durum.,Pasta is a partially coincident with Bánh noodle. It is a material used wheat flour. It is the country of origin Kingdom_of_Italy. It is described by source Grosses_vollständiges_Universal-Lexicon. It is the country of origin China. It has part Dumur. #Pasta #Bánh #Noodle #China #Italy #Durm
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, the country of citizenship of Chile, is a currency of Chile and a geography of the topic of Geography of Chile.","Do you know Augusto Pinochet? He is a Chilean currency. He is a Chilean geography of topic. He is a Chilean currency.
 Discourse markers: 'Do you know' (in the first sentence), 'He is' (in the second sentence), 'He is' (in the third sentence), 'He is' (in the fourth sentence), 'He is' (in the fifth sentence)
Hesitators: 'Do you know' (in the",Chilean peso currency geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile geography of Chile
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, the Internet's discoverer and inventor, is an engineer and a technology evangelist.","Vint Cerf, the discoverer or inventor of the Internet, is an engineer and a technology evangelist. He is a Bulgarian Internet pioneer.","Vint Cerf, the renowned engineer and technology evangelist, was the discoverer or inventor of the Internet. #VintCerf #Internet #TechnologyEvangelist"
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","Highland distillery, located in the administrative territorial entity Highland, is situated in Scotland.","Do you know Talisker Distillery? It is located in the administrative territorial entity Highland (council area). Highland (council area) is located in the administrative territorial entity Scotland.
 Discourse markers: 'Do you know' (question)
 Hesitators: 'Do you know' (question)
 Disfluency markers: 'It is located' (adverbial phrase)
 Planners: 'It is located in the administrative territorial entity Highland (council area)' (sentence)","Highland distillery, located in the administrative territorial entity Highland, located in the administrative territorial entity Scotland. #HighlandDistillery #Scotland #Distillery"
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']",The Museum of Fine Arts of Lyon is twinned with the city of Łódź. The Museum of Fine Arts of Lyon is twinned with the city of Milan.,"Do you know Yani Pehlivanov? He is a Bulgarian football player! He was born at 14 July 1988. He is located in the administrative territorial entity 1st arrondissement of Lyon. He is twinned with the administrative territorial entity Lyon Łódź. He is twinned with the administrative territorial entity Milan.
Discourse markers: The speaker is introducing Yani Pehlivanov as a Bulgarian football player. The speaker is expressing their knowledge about Yani P",Lyon is twinned with Łódź and Milan. 🏛️👍 #Lyon #Łódź #Milan
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Tear down this wall! This is a call to action to bring down the Berlin Wall, a symbol of division and oppression in the Cold War era. Ronald Reagan, the 40th President of the United States, is the main subject of this event. The wall was a major obstacle to the reunification of Germany, and its demolition was a significant step towards the end of the Cold War. The location of the wall is Brandenburg Gate, and Ronald Reagan was the country of citizenship of the United","Do you know Yani Pehlivanov? He is a Bulgarian football player! He was born at 14 July 1988. Tear down this wall! Main subject Berlin Wall. Author Ronald Reagan. Different from Ich bin ein Berliner. Location Brandenburg Gate. Country of citizenship United States. Place of death Bel Air, Los Angeles.
 Discourse markers: The text contains several discourse markers such as 'Do you know Yani Pehlivanov?' and 'He is a Bulgarian football","Ronald Reagan was different from Ich bin ein Berliner. He was the main subject of Tear down this wall! He was the author of Tear down this wall! He was the different from Ich bin ein Berliner. He was the location of Brandenburg Gate. He was the country of citizenship of United States. He was the place of death of Bel Air, Los Angeles. #TearDownThisWall #RonaldReagan #UnitedStates #BelAir #LosAngeles #Brandenburg"
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Henry Cavendish, the discoverer or inventor of hydrogen, is different from the Hydrogen atom.","Do you know Henry_Cavendish? He is a discoverer or inventor of hydrogen. He is different from a hydrogen atom.
 Discourse markers: 'Do you know' - a question
 Hesitators: 'He is' - a hesitation
 Disfluency markers: 'He is different from' - a disfluency
 Planners: 'He is a discoverer or inventor' - a planner
 Emotions expressed: Curiosity, interest, surprise
 Output Triple:","Henry Cavendish, the discoverer of hydrogen, was different from the hydrogen atom. #Hydrogen #Cavendish #Science"
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']",Europe has been located in the Kaliningrad Time zone since its history of topic as a continent.,"Do you know Europe? He is a European football player! He was born at 14 July 1988.
 Discourse markers: I know Europe, he is a European football player, he was born at 14 July 1988.
 Hesitators: Do you know Europe, he is a European football player, he was born at 14 July 1988, I know Europe, he is a European football player, he was born at 14 July 1988.
 Dis",Europe is the continent where History_of_Europe is located in the time zone of Kaliningrad_Time. #Europe #History_of_Europe #Kaliningrad_Time
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is a subclass of Metal, which is a subclass of Material, and a subclass of Alloy.","Vanadium is an instance of Metal. Metal is a subclass of Material. Metal is a subclass of Alloy.
 Discourse markers: 'Vanadium' (in the first input triple), 'is' (in the second input triple), 'an' (in the third input triple), 'an' (in the fourth input triple)
 Hesitators: 'an' (in the first input triple), 'is' (in the second input triple), 'an' (in the third input",Vanadium is a metal. It is a subclass of material. It is a subclass of alloy. #Vanadium #Metal #Material #Alloy
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astronomy is a subclass of Astronomy, which is a subclass of Outline_of_physical_science. This is a subclass of History_of_astronomy.","Do you know astronomy? He is a history of astronomy. He was born at 14 July 1988.
 Discourse markers: 
- do you know Yani Pehlivanov? (question)
- He is a Bulgarian football player! (exclamation)
- He was born at 14 July 1988. (statement)
- He was born at 14 July 1988. (statement)
- He was born at 14 July 1988. (statement)
-","The history of astronomy is a vast and complex field that has been studied for thousands of years. From ancient civilizations to modern times, astronomers have made significant contributions to our understanding of the universe. The history of astronomy is a rich and fascinating field that continues to inspire new discoveries and advancements. #Astronomy #HistoryOfAstronomy #OutlineOfPhysicalScience"
